ID,기능명,카테고리,기능 설명,우선순위,요구사항 상세,담당자,진행상황,논의사항
TK-24,프로젝트 관리,프로젝트 설정,Github 연동 기능,하,사용자는 선택한 파일 또는 폴더를 자신의 프로젝트에 추가할 수 있어야한다.,"나율 김, 조소현",시작 전,
TK-25,프로젝트 관리,프로젝트 설정,Github 연동 기능,하,사용자는 프로젝트에 필요한 설정마다 Github에서 파일을 추가할 수 있어야한다.,"나율 김, 조소현",시작 전,
TK-45,,,,,컴포넌트의 초기 상태는 메서드 인터페이스만 나타낸다.,"박준호, 승국 정승국",시작 전,
TK-67,,,,,프로젝트 서버 URL을 수정할 수 있다.,"나율 김, 조소현",시작 전,
TK-68,,,,,프로젝트 설명을 수정할 수 있다.,"나율 김, 조소현",시작 전,
TK-2,프로젝트 관리,프로젝트 설정,Github 연동 기능,중,Github를 통해서 사용자 파일을 쉽게 가져온다,"나율 김, 조소현",시작 전,
TK-23,프로젝트 관리,프로젝트 설정,Github 연동 기능,하,사용자는 자신의 Repository에서 파일 또는 폴더를 선택할 수 있어야 한다.,"나율 김, 조소현",시작 전,
TK-13,프로젝트 관리,프로젝트 설정,프로젝트 생성 기능,상,사용자는 프로젝트를 생성할 수 있다.,"나율 김, 조소현",시작 전,
TK-26,프로젝트 관리,프로젝트 설정,프로젝트 생성 기능,상,프로젝트 명을 입력 받는다.,"나율 김, 조소현",시작 전,
TK-56,,,,,프로젝트 설명을 입력 받는다.,"나율 김, 조소현",시작 전,
TK-57,,,,,프로젝트 서버 URL을 입력받는다.,"나율 김, 조소현",시작 전,
TK-58,,,,,요구사항 명세서를 입력받는다.,"나율 김, 조소현",시작 전,
TK-59,,,,,ERD를 입력 받는다.,"나율 김, 조소현",시작 전,
TK-60,,,,,의존성 파일을 입력받는다.,"나율 김, 조소현",시작 전,
TK-61,,,,,유틸 클래스들을 입력받는다.,"나율 김, 조소현",시작 전,
TK-62,,,,,예외 발생시 처리방법을 입력받는다.,"나율 김, 조소현",시작 전,
TK-63,,,,,에러 코드 정의 방법을 입력받는다.,"나율 김, 조소현",시작 전,
TK-64,,,,,세션 관리 방법 (로그인)을 입력받는다.,"나율 김, 조소현",시작 전,
TK-65,,,,,코드 컨벤션을 입력받는다.,"나율 김, 조소현",시작 전,
TK-66,,,,,프로젝트의 패키지 구조를 입력 받는다.,"나율 김, 조소현",시작 전,
TK-14,프로젝트 관리,프로젝트 설정,프로젝트 수정 기능,하,사용자는 프로젝트를 수정할 수 있다.,"나율 김, 조소현",시작 전,
TK-27,프로젝트 관리,프로젝트 설정,프로젝트 수정 기능,하,프로젝트 명을 수정할 수 있다.,"나율 김, 조소현",시작 전,
TK-69,,,,,요구사항 명세서를 수정할 수 있다.,"나율 김, 조소현",시작 전,
TK-70,,,,,ERD를 수정할 수 있다.,"나율 김, 조소현",시작 전,
TK-71,,,,,의존성 파일을 수정할 수 있다.,"나율 김, 조소현",시작 전,
TK-72,,,,,유틸 클래스들을 수정할 수 있다.,"나율 김, 조소현",시작 전,
TK-73,,,,,예외 발생시 처리방법을 수정할 수 있다.,"나율 김, 조소현",시작 전,
TK-74,,,,,에러 코드 정의 방법을 수정할 수 있다.,"나율 김, 조소현",시작 전,
TK-75,,,,,세션 관리 방법 (로그인)을 수정할 수 있다.,"나율 김, 조소현",시작 전,
TK-76,,,,,코드 컨벤션을 수정할 수 있다.,"나율 김, 조소현",시작 전,
TK-77,,,,,프로젝트의 패키지 구조를 수정할 수 있다.,"나율 김, 조소현",시작 전,
TK-15,프로젝트 관리,프로젝트 설정,프로젝트 삭제 기능,하,사용자는 프로젝트를 삭제할 수 있다.,"나율 김, 조소현",시작 전,
TK-52,메서드 도식화,API 메서드 도식화,API 메서드 도식화 생성 기능,상,API를 통해서 메서드를 캔버스 GUI로 확인,"박준호, 승국 정승국",시작 전,
TK-53,메서드 도식화,API 메서드 도식화,API 메서드 도식화 생성 기능,상,만들어진 API를 통해서 메서드를 도식화하여 표현한다.,"박준호, 승국 정승국",시작 전,
TK-3,메서드 도식화,API 메서드 도식화,메서드 선택 프롬프팅 기능,상,도식 컴포넌트를 프롬프팅을 통해 수정,"박준호, 승국 정승국",시작 전,
TK-28,메서드 도식화,API 메서드 도식화,메서드 선택 프롬프팅 기능,상,한개 이상의 메서드 도식을 선택할 수 있다.,"박준호, 승국 정승국",시작 전,
TK-29,,,,상,프롬프트를 통해서 메서드 도식을 수정할 수 있다.,"박준호, 승국 정승국",시작 전,
TK-30,,,,상,"프롬프트를 돕는 태그가 존재한다. 태그는 리팩토링, 최적화 등이 있다.","박준호, 승국 정승국",시작 전,
TK-8,메서드 도식화,API 메서드 도식화,"DTO, Entity 생성 기능",상,"API를 통해서 DTO, Entity를 생성","박준호, 승국 정승국",시작 전,
TK-31,,,,상,설정한 API를 기반으로 AI가 DTO를 생성한다.,"박준호, 승국 정승국",시작 전,ERD로 부터 DTO의 이름과 body가 결정된다.
TK-32,,,,상,설정한 API를 기반으로 AI가 Entity를 생성한다.,"박준호, 승국 정승국",시작 전,ERD로 부터 Entity의 이름과 body가 결정된다.
TK-9,메서드 도식화,API 메서드 도식화,프롬프트 버저닝 기능,상,프롬프트를 입력할 때 마다 버전 업데이트,"박준호, 승국 정승국",시작 전,
TK-33,,,,상,프롬프트를 입력할 때마다 버전이 생성된다.,"박준호, 승국 정승국",시작 전,
TK-34,,,,상,"서로 다른 버전으로 이동하여 도식을 변경할 수있다. ","박준호, 승국 정승국",시작 전,
TK-19,메서드 도식화,API 메서드 도식화,메서드 전체 프롬프팅 기능,상,API 에 대해서 프롬프팅을 다시 진행,"박준호, 승국 정승국",시작 전,
TK-35,,,,,모든 메서드 도식에 대해서 프롬프팅을 진행할 수 있다.,"박준호, 승국 정승국",시작 전,모든 메서드가 변경된다.
TK-44,,,,,"프롬프트를 돕는 태그가 존재한다. 태그는 리팩토링, 최적화 등이 있다.","박준호, 승국 정승국",시작 전,
TK-20,메서드 도식화,API 메서드 도식화,메서드 컴포넌트 도식화 기능,상,API의 메서드는 캔버스 GUI의 컴포넌트로 표현,"박준호, 승국 정승국",시작 전,
TK-39,,,,,API와 관련된 메서드가 컴포넌트로 표시된다.,"박준호, 승국 정승국",시작 전,
TK-40,,,,,컴포넌트를 클릭하여 LLM이 생성한 코드를 확인한다.,"박준호, 승국 정승국",시작 전,
TK-41,,,,,코드가 나온 상태에서 다시 클릭하면 메서드를 수정할 수 있도록 포커스가 나타난다.,"박준호, 승국 정승국",시작 전,
TK-78,,,,,,"박준호, 승국 정승국",시작 전,
TK-21,메서드 도식화,API 메서드 도식화,메서드 컴포넌트 별 연관관계 표시,상,각 메서드는 연관관계가 존재,"박준호, 승국 정승국",시작 전,
TK-42,,,,,"메서드 별로 메서드가 호출하는 다른 패키지의 메서드를 확인해볼 수 있다. ","박준호, 승국 정승국",시작 전,
TK-22,메서드 도식화,API 메서드 도식화,메서드 컴포넌트를 전역 설정에 추가,상,프로젝트 전역 설정에 메서드 (컴포넌트) 추가,"박준호, 승국 정승국",시작 전,
TK-46,메서드 도식화,API 메서드 도식화,메서드 컴포넌트를 전역 설정에 추가하는 기능,상,생성된 메서드를 전역 파일 설정에 등록할 수 있다.,"박준호, 승국 정승국",시작 전,
TK-4,API,API,API 추가 기능,상,API 를 추가,"부울경_2반_박민제 , 선 권",시작 전,
TK-47,API,API,API 추가 기능,상,API 를 사용자가 직접 추가할 수 있다.,"선 권, 부울경_2반_박민제 ",시작 전,
TK-48,API,API,API 추가 기능,상,현재 API 의 상태를 확인할 수 있다.,"선 권, 부울경_2반_박민제 ",시작 전,
TK-49,API,API,API 추가 기능,상,몇몇 양식을 통해 쉽게 API를 추가할 수 있다.,"선 권, 부울경_2반_박민제 ",시작 전,"• 메서드가 무엇인가?
• path가 무엇인가?
• Auth가 있는가?
• queryString이 필요한가?
• request 이 있는가?
• response 이 있는가?
• pathVariable 이 있는가?
• pagnation이 적용되어야하는가? - 표준은 아님"
TK-50,API,API,API 추가 기능,상,"API의 제목, 설명을 추가할 수 있다.","선 권, 부울경_2반_박민제 ",시작 전,
TK-17,API,API,API 수정 기능,상,API를 수정,"선 권, 부울경_2반_박민제 ",시작 전,
TK-18,API,API,AI API 생성 기능,상,"요구사항 명세서, ERD 를 통해 API 를 자동 생성","선 권, 부울경_2반_박민제 ",시작 전,
TK-51,,,,,요구사항 명세서를 기반으로 openapi 명세 기반의 yaml 파일 혹은 json 파일을 생성한다.,"선 권, 부울경_2반_박민제 ",시작 전,"• 여러개의 API 가 생성된다.
• API 추가 기능을 사용자가 귀찮게 작성하지않아도 AI로 편하게 입력할 수 있다."
TK-54,,,,,"생성된 API는 도식화 생성전 상태이다. (도식화 생성전, 도식화 생성 후, 코드 적용 완료 등의 상태가 있음)","선 권, 부울경_2반_박민제 ",시작 전,
TK-55,,,,,,,시작 전,
TK-5,로그인,로그인,Google OAuth 2.0 간편 로그인,상,로그인 기능,"승국 정승국, 나율 김",시작 전,
TK-36,,,,,"구글 아이콘을 클릭하여 로그인을 한다. 하나의 아이콘에서 로그인, 회원가입을 진행할 수 있다.","승국 정승국, 나율 김",시작 전,
TK-16,로그인,로그인,Google OAuth 2.0 간편 회원가입,상,회원가입 기능,"승국 정승국, 나율 김",시작 전,
TK-38,,,,,회원가입시 닉네임이 자동으로 생성된다.,"승국 정승국, 나율 김",시작 전,
TK-37,,,,,"구글 아이콘을 클릭하여 로그인을 한다. 하나의 아이콘에서 로그인, 회원가입을 진행할 수 있다.","승국 정승국, 나율 김",시작 전,
